imagen_base,par_lpips,lpips_sim,par_msssim,ms_ssim
C:\workspace\deep_learning\filters\images\albert-julius-olsson_a-song-of-the-sea.jpg,C:\workspace\deep_learning\filters\images\albert-julius-olsson_storm-cloud.jpg,0.439,C:\workspace\deep_learning\filters\images\antoine-blanchard_place-de-la-madeleine-hiver.jpg,0.2402
C:\workspace\deep_learning\filters\images\albert-julius-olsson_moonrise-st-ives-bay.jpg,C:\workspace\deep_learning\filters\images\albert-julius-olsson_a-song-of-the-sea.jpg,0.4092,C:\workspace\deep_learning\filters\images\albert-julius-olsson_storm-cloud.jpg,0.24
C:\workspace\deep_learning\filters\images\albert-julius-olsson_rum-from-eigg-inner-hebrides.jpg,C:\workspace\deep_learning\filters\images\arkhip-kuindzhi_red-sunset-1.jpg,0.3739,C:\workspace\deep_learning\filters\images\arkhip-kuindzhi_sunset-2.jpg,0.3291
C:\workspace\deep_learning\filters\images\albert-julius-olsson_seascape-evening.jpg,C:\workspace\deep_learning\filters\images\albert-julius-olsson_moonrise-st-ives-bay.jpg,0.3849,C:\workspace\deep_learning\filters\images\arkhip-kuindzhi_red-sunset-1.jpg,0.1896
C:\workspace\deep_learning\filters\images\albert-julius-olsson_storm-cloud.jpg,C:\workspace\deep_learning\filters\images\albert-julius-olsson_a-song-of-the-sea.jpg,0.439,C:\workspace\deep_learning\filters\images\albert-julius-olsson_moonrise-st-ives-bay.jpg,0.24
C:\workspace\deep_learning\filters\images\anders-zorn_in-the-studio-1896.jpg,C:\workspace\deep_learning\filters\images\edward-wadsworth_male-figure-standing-1911.jpg,0.4144,C:\workspace\deep_learning\filters\images\edgar-degas_after-the-bath-woman-drying-herself-1892.jpg,0.1328
C:\workspace\deep_learning\filters\images\anders-zorn_red-stockings-1887.jpg,C:\workspace\deep_learning\filters\images\edgar-degas_after-the-bath-woman-drying-herself-1892.jpg,0.3724,C:\workspace\deep_learning\filters\images\arkhip-kuindzhi_red-sunset-1.jpg,0.1335
C:\workspace\deep_learning\filters\images\antoine-blanchard_boulevard-de-la-madeleine-2.jpg,C:\workspace\deep_learning\filters\images\antoine-blanchard_boulevard-de-la-madeleine-9.jpg,0.5683,C:\workspace\deep_learning\filters\images\antoine-blanchard_porte-st-denis-8.jpg,0.1664
C:\workspace\deep_learning\filters\images\antoine-blanchard_boulevard-de-la-madeleine-9.jpg,C:\workspace\deep_learning\filters\images\antoine-blanchard_boulevard-de-la-madeleine-2.jpg,0.5683,C:\workspace\deep_learning\filters\images\albert-julius-olsson_a-song-of-the-sea.jpg,0.1293
C:\workspace\deep_learning\filters\images\antoine-blanchard_place-de-la-madeleine-hiver.jpg,C:\workspace\deep_learning\filters\images\antoine-blanchard_porte-st-denis-8.jpg,0.3834,C:\workspace\deep_learning\filters\images\albert-julius-olsson_a-song-of-the-sea.jpg,0.2402
C:\workspace\deep_learning\filters\images\antoine-blanchard_porte-st-denis-8.jpg,C:\workspace\deep_learning\filters\images\antoine-blanchard_boulevard-de-la-madeleine-2.jpg,0.4987,C:\workspace\deep_learning\filters\images\antoine-blanchard_boulevard-de-la-madeleine-2.jpg,0.1664
C:\workspace\deep_learning\filters\images\arkhip-kuindzhi_red-sunset-1.jpg,C:\workspace\deep_learning\filters\images\arkhip-kuindzhi_sunset-2.jpg,0.3797,C:\workspace\deep_learning\filters\images\arkhip-kuindzhi_sunset-2.jpg,0.3234
C:\workspace\deep_learning\filters\images\arkhip-kuindzhi_sunset-2.jpg,C:\workspace\deep_learning\filters\images\arkhip-kuindzhi_red-sunset-1.jpg,0.3797,C:\workspace\deep_learning\filters\images\albert-julius-olsson_rum-from-eigg-inner-hebrides.jpg,0.3291
C:\workspace\deep_learning\filters\images\edgar-degas_after-the-bath-woman-drying-herself-1892.jpg,C:\workspace\deep_learning\filters\images\edward-wadsworth_male-figure-standing-1911.jpg,0.395,C:\workspace\deep_learning\filters\images\anders-zorn_in-the-studio-1896.jpg,0.1328
C:\workspace\deep_learning\filters\images\edward-henry-potthast_nude.jpg,C:\workspace\deep_learning\filters\images\edward-wadsworth_male-figure-standing-1911.jpg,0.3076,C:\workspace\deep_learning\filters\images\arkhip-kuindzhi_sunset-2.jpg,0.1667
C:\workspace\deep_learning\filters\images\edward-wadsworth_male-figure-standing-1911.jpg,C:\workspace\deep_learning\filters\images\anders-zorn_in-the-studio-1896.jpg,0.4144,C:\workspace\deep_learning\filters\images\albert-julius-olsson_seascape-evening.jpg,0.1841
