Image1,Image2,Method,Layer,Similarity
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,gram,conv1_1,0.590416
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,gram,conv1_2,0.774839
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,gram,conv2_1,0.675431
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,gram,conv2_2,0.821817
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,gram,conv3_1,0.659537
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,gram,conv3_2,0.543852
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,gram,conv3_3,0.502092
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,gram,conv3_4,0.806938
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,gram,conv4_1,0.627035
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,gram,conv4_2,0.597493
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,gram,conv4_3,0.627972
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,gram,conv4_4,0.854559
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,gram,conv5_1,0.434774
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,gram,conv5_2,0.525674
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,gram,conv5_3,0.596700
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,gram,conv5_4,0.799763
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,conv,conv1_1,0.396221
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,conv,conv1_2,0.215625
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,conv,conv2_1,0.211390
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,conv,conv2_2,0.236719
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,conv,conv3_1,0.307637
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,conv,conv3_2,0.268383
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,conv,conv3_3,0.247145
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,conv,conv3_4,0.453937
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,conv,conv4_1,0.413142
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,conv,conv4_2,0.424880
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,conv,conv4_3,0.437907
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,conv,conv4_4,0.622014
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,conv,conv5_1,0.348273
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,conv,conv5_2,0.418149
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,conv,conv5_3,0.482159
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,conv,conv5_4,0.696605
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,fc,fc1,0.257336
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,fc,fc2,0.122132
edward-wadsworth_male-figure-standing-1911_hsv_value,robert-julian-onderdonk_panoramic-landscape_hsv_value,fc,fc3,0.067377
